Comment,Designator,Footprint,LCSC
"100nF","C1,C2","Capacitor_SMD:C_0402_1005Metric","C1525"
"10uF","C22","Capacitor_SMD:C_0603_1608Metric","C19702"
"WS2812E","D1,D2","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","C139127"
"Conn_02x04_Odd_Even","J1","Connector_PinSocket_2.54mm:PinSocket_2x04_P2.54mm_Horizontal",""
"75R","R1","Resistor_SMD:R_0603_1608Metric","C4275"
